,observedNode,measuredValue,observationDate,measuredProperty,disambiguatingDescription
0,PERSONS,9000,27/09/2021,Count,"The population type is SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples."
1,FINDINGS,27500,02/07/2021,SARS-CoV-2 VOC VUI ,Episodes
2,EVENTS,629541,17/01/2021,count,Computer task performance
3,PERSONS,1078,01/10/2016,Count,"Each participant has a large number (<5000) of data points associated with them. Recruitment started in 2006, but data collection is ongoing, and health data predates recruitment date. Summary statistics of all data can be found on our data showcase."
4,PERSONS,500000,13/03/2006,Count,number of patients in the dataset
5,PERSONS,19360,24/06/2021,count,Participants who have consent information
6,PERSONS,144517,26/11/2020,COUNT,
7,Persons," 9,476 ",2020-12-08,Count,Number of participants with blood samples
8,PERSONS,20405,12/09/2021,COUNT,NOT APPLICABLE
9,Events,"43357 inpatients and A&E patients, including day cases.",2020-06-30,COUNT,"The population type is SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples."
10,FINDINGS,27500,02/07/2021,SARS-CoV-2 VOC VUI ,
11,FINDINGS,3000000,01/01/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
12,Events,"50,887 patients including COPD and non-COPD control group",2020-12-08,COUNT,number of primary shoulder  replacements during 2019 in the dataset
13,EVENTS,3000000,01/09/2021,Count,"330,000 patients present in dataset"
14,FINDINGS,45784,01/09/2020,Count,2747000 records in the dataset
15,PERSONS,330000,03/09/2021,COUNT,NOT APPLICABLE
16,PERSONS,2747000,24/09/2021,COUNT,number of patient admissions in the audit dataset submitted in 2018/19
17,Events,1035 maternity spells in this dataset from 01.01.2015 to 31.12.2020,2020-02-17,Count,"total number of NJR records analysed for the 2019 annual report
"
18,PERSONS,74696,01/01/2020,Count,Observations Not Applicable at this time (Oct 2021) and default values used where fields are mandatory
19,FINDINGS,3016279,01/09/2020,Count,Number of participants at recruitment (LBC1921 Wave 1)
20,FINDINGS,1,30/11/2021,Count,"Pathology Test Results and all Radiology reports for Wales. Data coverage differs by geography:

2012 for Swansea (ABMU)

2017 for Newport (AB)

2012 for North Wales (BC)

2007 for Cwm Taf

2015/16 for Cardiff (CV)

2014 for West Wales (HD)"
21,PERSONS,550,01/01/1999,Count,Number of CPRD GOLD patients matched to single MHDS identifier
22,FINDINGS,24416,20/07/2021,COVID LIMIS TEST RESULTS,Approx 70-80% coverage of Welsh population through GP registrations.
23,PERSONS,841414,21/04/2020,Count,Participants from NHS Trusts that have provided additional EHR data as part of Gut Reaction.
24,PERSONS,6643,2003-01-01 00:00:00,Count,2800 patients in the dataset
25,EVENTS,3000000,01/09/2021,Count,"People with a diagnosis of cancer, and people with presentation of symptoms relating to cancer (chief complaint in SNOMED CT)"
26,EVENTS,3000000,01/09/2021,Count,"15,908 cancer related stroke admissions between 29/10/2004 and 31/07/2021"
27,EVENTS,3000000,01/09/2021,Count,Better Rx BRIT2 study population. 
28,PERSONS,6269,02/07/2021,COUNT,Number of procedures reported in the dataset in 2018/19
29,PERSONS,2800,09/09/2021,COUNT,number of casenote reviews in the dataset
30,Persons,"10,000",2021-01-04,count,Approx 70-80% coverage of Welsh population through GP registrations.
31,EVENTS,15908,20/12/2021,Count,Number of CPRD GOLD patients matched to a single cancer identifier
32,PERSONS,512000,01/01/2017,Count,"1,602,184 spells between 01.12.2008 and 03.07.2021"
33,EVENTS,12064,01/01/2020,Count,Number of results in the most recent database of sequencing results
34,PERSONS,1575,01/04/2021,Count,958 patient cases are included from 82 occupational therapy services
35,EVENTS,3000000,01/09/2021,Count,"11,008 persons in this dataset
"
36,EVENTS,3000000,01/09/2021,Count,SNP genotyping array chips processed and imputation performed.
37,PERSONS,901965,06/09/2021,Count,14304 cataract records
38,EVENTS,1602184,20/01/2022,Count,"8,760,000 in the dataset"
39,PERSONS,1,30/06/2021,Count,number of hospitals in England which submited data
40,FINDINGS,20026,17/08/2021,Count,Total number of practices (current and historic) included in the CPRD GOLD Jan 2022 database
41,PERSONS,958,30/09/2019,Count,
42,PERSONS,110088,19/05/2022,COUNT,Number of participants at recruitment
43,EVENTS,11787,01/09/2021,COUNT,Rare Disease Participants
44,EVENTS,14304,03/02/2022,Count,
45,PERSONS,8760000,03/09/2021,COUNT,2099 patient cases are included from 153 physiotherapy services
46,FINDINGS,110,24/06/2021,count,"11,707,500 persons in the dataset"
47,FINDINGS,983,04/02/2022,Count,
48,Events,Anonymous SAMBA dataset with total of 281 Patients,2020-01-30,count,Number of CPRD GOLD patients eligible for postcode linkage
49,PERSONS,8134,01/01/2013,Count,Total number of research acceptable patients in CPRD GOLD February 2022 version
50,Persons,"71,800",2020-09-03,Count,"Over 197,000 observations in the first iteration of the data"
51,Persons,"103,000",2020-11-20,Count,Rare Disease Participants
52,PERSONS,2099,30/09/2019,Count,"In December 2020 there were 114,125 referrals made into IAPT services in England."
53,PERSONS,3000000,01/01/2021,Count,"COVID-19 Consolidated Deaths dataset. Similar to the usual Annual deaths extract (SAIL Databank), except this dataset contains additional information with relevance to deaths where Covid-19 is attributable."
54,PERSONS,11707500,31/01/2022,Count,Cirrhosis
55,Events,Anonymous SAMBA dataset with total of 338 Patients,2019-06-27,COUNT,"Diabetic Population forom all ethnic groups from age 12 onwards, total live population in excess of 200,000, with another 100,000 patients in the database who are deceased or have left the programme area
"
56,PERSONS,10559390,04/02/2022,Count,"759,000 people in the dataset"
57,PERSONS,20827472,07/02/2022,Count,"Approximately 100,000 individuals surveyed each quarter"
58,FINDINGS,197000,01/07/2021,Count,"513,000 persons in the dataset"
59,Persons,"71,800",2020-09-03,Count,"Since 1997 the UKRR has collected data on c. 240,000 patients who are treated at hospital renal centres in England, Northern Ireland, Scotland and Wales who are either on KRT or have CKD. "
60,EVENTS,114125,25/02/2021,COUNT,A&E attendances in ECDS (Emergency Care Dataset) for the month of October 2020.
61,PERSONS,44482,21/09/2021,ALF_E,Approx 70-80% coverage of Welsh population through GP registrations.
62,PERSONS,257,04/01/2010,Count,
63,EVENTS,200000,25/03/2020,Count,We have invited all specialist palliative care services (adult and children's) through partner organisations across the UK and the world to respond to the survey.
64,PERSONS,759000,27/09/2021,COUNT,Approx 70-80% coverage of Welsh population through GP registrations.
65,FINDINGS,1,30/06/2021,Count,Rare Disease Participants
66,PERSONS,100000,10/11/2020,count,"739,000 patients in the dataset"
67,PERSONS,513000,28/09/2021,COUNT,1915 people participated in the DOLORISK study.
68,EVENTS,35047612,04/02/2022,count,Not applicable
69,PERSONS,240000,31/12/2019,Count,SNP genotyping array chips processed
70,PERSONS,1420000,18/11/2020,Count,"220,066 events in this dataset"
71,EVENTS,3000000,01/09/2021,Count,"9,485 elective and emergency admissions with Cholecystectomy procedures"
72,Persons,10 million images,2004-03-01,10 million,Number of quality surveys submitted to the audit
73,PERSONS,458,23/04/2020,"Response to Covid-19, innovations introduced, busyness, patients seen",median percentage case ascertainment
74,EVENTS,3000000,01/09/2021,Count,episodes
75,Persons,"71,800",2020-09-03,Count,Approx 70-80% coverage of Welsh population through GP registrations.
76,PERSONS,739000,24/09/2021,COUNT,Rare Disease Participants
77,PERSONS,1915,09/11/2021,Count,"People experiencing an adverse reaction to a COVID-19 vaccination.
"
78,EVENTS,3000000,01/09/2021,Count,"The Welsh Cancer Intelligence & Surveillance Unit (WCISU) is the National Cancer Registry for Wales and its primary role is to record, store and report on all incidence of cancer for the resident population of Wales wherever they are treated."
79,Events,7127 patient spells at the current timeline (2018- 19/11/2020) but all data from 2000 onwards can be extracted,2020-11-19,count,"92,000 patients in the dataset"
80,EVENTS,11787,01/09/2021,Count,Number of CPRD Aurum patients matched to single death identifier 
81,EVENTS,220066,18/05/2022,COUNT,Cafcass court cases in England
82,EVENTS,9485,06/12/2021,Count,Number of results in the most recent database of sequencing results
83,FINDINGS,1,31/12/2020,Count,"734,000 people in the dataset"
84,PERSONS,1581,12/05/2021,Count,"Pillar 2 COVID-19 tests 
"
85,FINDINGS,58,24/06/2021,percentage,"The population type is SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples."
86,EVENTS,2815222,17/01/2021,count,Episodes
87,EVENTS,3000000,01/09/2021,Count,Clinical Data
88,PERSONS,2844000,01/01/2018,Count,"15,000 synthetic admissions between 01/01/2018 and 08/06/2021  "
89,Persons,"71,800",2020-09-03,Count,"1,629 spells with patients with diabetes between 27-12-2004 and 31-12-2021"
90,PERSONS,2600,03/03/2021,Count,Number of CPRD GOLD patients matched to a single cancer identifier
91,EVENTS,714794,20/07/2021,Welsh Cancer Neoplasm and Treatment Events,Percent of acute trusts / health boards in England and Wales submitting data to the NHFD
92,PERSONS,92000,10/09/2021,Count,Number of Trusts and Health Boards completing the survey each year
93,PERSONS,4079423,04/02/2022,Count,"Data on over 1.2 million babies, with approximately 25,000 new infant records added quarterly."
94,PERSONS,1104569,27/09/2021,Count,Patients in the dataset
95,FINDINGS,20026,17/08/2021,Count,"Approximately 400,000 new and review attendances annually"
96,FINDINGS,1,31/10/2020,Count,Records of farmers and farmer relations e.g. managers applying for farming financial support schemes
97,PERSONS,734000,27/09/2021,COUNT,number of hospitals surveyed
98,FINDINGS,35380000,07/01/2021,Count,Participants who returned health and lifestyle questionnaires
99,FINDINGS,27500,02/07/2021,SARS-CoV-2 VOC VUI ,"341,000 patients in the dataset"
100,EVENTS,33208191,16/02/2021,Count,5065 patients
101,EVENTS,1000,10/11/2021,Count,
102,EVENTS,15000,12/09/2021,Count,Not applicable
103,PERSONS,104,27/09/2021,Count,The study aims to recruit 40 patients in total
104,EVENTS,1629,02/01/2022,Count,Approx 70-80% coverage of Welsh population through GP registrations.
105,PERSONS,901965,06/09/2021,Count,days of critical care
106,EVENTS,100,01/05/2018,count,Number of surveys returned
107,FINDINGS,154,01/01/2021,Count,Participants who have consent information
108,PERSONS,1200000,14/12/2021,Count,Participants who have demographic information (age and gender as a minimum)
109,PERSONS,499344,29/06/2020,COUNT,"61,476 admissions for patients with myocardial infarction and unstable angina"
110,EVENTS,400000,22/06/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
111,EVENTS,37900,18/01/2022,Records of farming income support applications,
112,EVENTS,3000000,01/09/2021,Count,Diagnostic imaging events relating to the 6 month period April - Sept 2020
113,FINDINGS,195,01/04/2021,Count,Number of unique CPRD GOLD patients linked to ICNARC
114,PERSONS,50224,26/11/2020,COUNT,NOT APPLICABLE
115,PERSONS,341000,11/11/2021,Count,percentage of paediatric diabetes units who completed the survey
116,FINDINGS,1,30/01/2021,COUNT,"Over 530,000 observations for the year 2019. "
117,EVENTS,5065,01/10/2021,Count,CYP admitted and included in the dataset
118,Persons," 106,831 ",2020-12-08,Count,"Pathology Test Results and all Radiology reports for Wales. Data coverage differs by geography:
2012 for Swansea (ABMU)

2017 for Newport (AB)

2012 for North Wales (BC)

2007 for Cwm Taf

2015/16 for Cardiff (CV)

2014 for West Wales (HD)"
119,FINDINGS,3000000,01/01/2021,Count,"Finalised dataset – 4,045,162 observations (All deaths from 2011 – 2019)
Provisional dataset – 3,111,699 observations (All death between 20200101 and 20210308, plus a 5% sample of the living population)"
120,Events,366174 spells in the dataset as shown on infographic but data can be extended back to 2004 and will be refreshed monthly.,2020-11-19,count,Participants who have consent information
121,PERSONS,40,28/10/2021,Count,
122,PERSONS,4500,30/09/2019,N/A,"64,833 acute general medicine admissions from 01/06/2021 and 01/07/2021"
123,EVENTS,3000000,01/09/2021,Count,Number of Trusts in the UK who responded to the organisational audit survey
124,EVENTS,328413,20/01/2021,count,Sample tubes collected from participants
125,EVENTS,14000,31/07/2019,Count,Number of CPRD Aurum patients matched to a single cancer identifier
126,Persons,33798,2020-11-26,COUNT,"858,000 distinct people in the dataset"
127,PERSONS,33795,26/11/2020,COUNT,Number of participants at recruitment
128,EVENTS,61476,16/12/2021,Count,"Dataset includes all patients receiving systemic anti-cancer therapies in or funded by the NHS. This includes adult and paediatric cancer patients receiving systemic anti-cancer treatment, in acute inpatient, day-case and outpatient settings."
129,EVENTS,3000000,01/09/2021,Count,number of Trusts and Health Boards who submitted data
130,EVENTS,696566,27/09/2021,Count,Number of CPRD Aurum patients matched to single HES identifier 
131,EVENTS,35047612,04/02/2022,Count,Number of CPRD GOLD patients matched to single death identifier
132,Persons," 1,667,778 ",2020-12-08,Count,"79,287 admissions from AMU and ED between 01-11-2017 and 01-10-2020"
133,PERSONS,18479800,30/09/2020,Count,"Multiple datasets in each nation's TRE with a population size of up to 57M in England (NHSD), 5.5M in Scotland (Safe Haven) and 3.2M in Wales (SAIL).  Some datasets measure events and will have a significantly larger number of records."
134,PERSONS,3149,04/02/2022,Count,number of carers and key workers surveyed
135,PERSONS,3000000,22/07/2021,Count,number of clinical staff surveyed
136,FINDINGS,1,31/03/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
137,Events,2217 patients with confirmed COVID-19 (as confirmed by naso-oropharyngeal SARS CoV-2 swab).,2020-05-15,Count,
138,EVENTS,100,31/03/2018,count,death records
139,PERSONS,530000,01/07/2019,Count,
140,PERSONS,8506,24/06/2021,count,This is total number of clinical images available for analyses. Modalities will have different components and a patient may have multiple clinical images taken. 
141,FINDINGS,24416,20/07/2021,COVID LIMIS TEST RESULTS,Approx 70-80% coverage of Welsh population through GP registrations.
142,PERSONS,460453,23/05/2021,Count,Number of patients matched to single HES identifier
143,PERSONS,7156861,07/05/2021,Count,Persons (patients) self-identifying as having a confirmed clinical diagnosis of IBD and being resident in the UK at the first timepoint (between April and August 2020) and consenting to take part in the Registry's ethically approved COVID-19 IBD study. )
144,PERSONS,34353,01/09/2021,COUNT,Whole Exome Sequences - CRAM files
145,Persons," 1,865,802 ",2020-12-08,Count,Participants who returned health and lifestyle questionnaires
146,EVENTS,64833,24/11/2021,Count,"Latest Publication Wave includes 3,756 individuals. This is from the publication bulletin released on 8th January 2021."
147,FINDINGS,80,12/11/2020,Count,Number of unique CPRD Aurum patients linked to ICNARC
148,EVENTS,225265,26/11/2020,COUNT,Number of CPRD Aurum patients matched to a single cancer identifier
149,PERSONS,3255865,06/09/2021,Count,Activities
150,PERSONS,858000,27/10/2021,COUNT,number of PCI procedures reported to the audit in 2018/19
151,PERSONS,1698,2008-01-01 00:00:00,Count,Number of CPRD GOLD patients matched to single HES identifier
152,EVENTS,47433,20/07/2021,Palliative Day Care Events,number of cardiac surgeries included in the three years 2016-2019
153,FINDINGS,118,01/01/2021,Count,"number of primary ankle  replacements during 2019 in the dataset
"
154,PERSONS,34416869,06/09/2021,Count,"4,790 distinct patients with CRP COVID visits between 23/12/2019 and 29/07/2021"
155,PERSONS,1,30/06/2019,Count,
156,PERSONS,1158177,04/02/2022,Count,Number of CPRD GOLD patients matched to a single cancer identifier
157,EVENTS,79287,15/02/2022,Count,Number of CPRD Aurum patients matched to single MHDS identifier
158,EVENTS,35047612,04/02/2022,Count,Approx 70-80% coverage of Welsh population through GP registrations.
159,PERSONS,65000000,01/01/1990,Count,NHS National Codes
160,PERSONS,4736,01/04/2021,Count,2800 patients in the dataset
161,PERSONS,14154,01/04/2021,Count,"226,958 Patients with 1,862,897 Ophthalmic Prescriptions"
162,EVENTS,3000000,01/09/2021,Count,Participants who have clinical data (disease and/or medication data collected at recruitment by a healthcare professional); this number excludes any healthy participants who have no current disease or medications
163,PERSONS,53000,31/03/2015,"Questionnaire, clinical measurements, cognitive tests","number of primary hip replacements during 2019 in the dataset
"
164,FINDINGS,1,01/12/2021,Count,
165,PERSONS,4750,02/01/2012,Count,240000000 patients in dataset
166,Persons," 46,288 ",2020-12-08,Count,"8668 Patients
16,659 eyes with 1,883,796 images
10,966 eyes with 175,657 injections (Lucentis/Eylea)
17,331 eyes with 510.564 visual acuity readings"
167,EVENTS,350505,17/01/2021,count,"300,000 patients per year and associated events"
168,Events,50902 patients including those  on ventilation and an unventilated control group,2020-12-08,EVENTS,Number of patients matched to single HES identifier
169,EVENTS,977227263,13/05/2021,count,Households
170,EVENTS,3000000,01/09/2021,Count,
171,EVENTS,35047612,04/02/2022,Count,"73,204 Acute Hospital Admissions between 05-March-2020 and 05-Nov-2020."
172,EVENTS,35047612,04/02/2022,Count,Distinct Patients
173,PERSONS,9800,01/04/2020,COUNT OF PATIENTS,"Latest file received from EA is currently at 27,185 records (as of 13/09/2021)"
174,FINDINGS,1,31/12/2020,Count,Number of CPRD Aurum patients matched to single HES identifier 
175,EVENTS,6996,01/09/2021,COUNT,Rare Disease Participants
176,PERSONS,22773,01/09/2021,COUNT,"514,000 persons in the dataset"
177,Findings,3756,2021-01-08,count,Approx 70-80% coverage of Welsh population through GP registrations.
178,PERSONS,14207,04/02/2022,Count,"Multiple datasets in each nation's TRE with a population size of up to 57M in England (NHSD), 5.5M in Scotland (Safe Haven) and 3.2M in Wales (SAIL).  Some datasets measure events and will have a significantly larger number of records."
179,PERSONS,3255865,06/09/2021,Count,Number of unique death registrations since 1993 in England and Wales
180,EVENTS,31000,23/09/2021,Count,"The Welsh Cancer Intelligence & Surveillance Unit (WCISU) is the National Cancer Registry for Wales and its primary role is to record, store and report on all incidence of cancer for the resident population of Wales wherever they are treated."
181,FINDINGS,1,31/07/2020,Count,
182,FINDINGS,1,31/12/2020,Count,Approx 70-80% coverage of Welsh population through GP registrations.
183,EVENTS,100294,01/01/2020,Count,Percent of acute trusts / health boards in England and Wales submitting data
184,PERSONS,8024752,06/09/2021,Count,"129,000 persons in the dataset"
185,EVENTS,34000,01/01/2020,Count,emergency admissions
186,FINDINGS,6589,01/09/2020,Count,"1,131,000 patients in dataset"
187,EVENTS,4790,09/12/2021,Count,"There are 981,000 patients in the dataset"
188,Persons," 1,643,175 ",2020-12-08,Count,number of implanting hospitals who submitted data in 2018/19
189,PERSONS,901965,06/09/2021,Count,NHS National Codes
190,PERSONS,2080806,21/04/2020,Count,"Since 2015 c. 1.7 million people have triggered a laboratory e-alert for an AKI. Each year the UKRR collects data on about 500,000 people with a suspected AKI in England - this includes more than 1.5 million AKI e-alerts."
191,EVENTS,3000000,01/09/2021,Count,"Number of children registered to the audit for publication in 2020, or which 1118 had been diagnosed with epilepsy."
192,PERSONS,29497,15/09/2021,Count,"106,000 patients present in dataset"
193,PERSONS,2873,09/09/2021,COUNT,Latest Publication Wave includes 9389 businesses. This is from the publication bulletin released on 7th January 2021.
194,PERSONS,226958,01/11/2021,Patients,Number of CPRD Aurum patients matched to single HES identifier 
195,PERSONS,57559,26/11/2020,COUNT,2.2 million persons
196,FINDINGS,1191253,01/09/2020,Count,
197,Persons," 176,063",2020-12-08,Count,"New referrals were received into mental health services during October 2020, as recorded in the mental health services dataset
"
198,PERSONS,240000000,23/09/2021,COUNT,"Data of patients seen in Diabetic Retinopathy screening service and in the hospital opthalamology department
"
199,PERSONS,8668,23/09/2021,8668,"Synthetic Data, generated using a Naïve Bayes model"
200,PERSONS,300000,01/01/2020,Count,"8,692 Patients
17,027 Eyes with 1,989,711 Images
11,001 Eyes with 176,370 Injections (Lucentis/Eylea)
17,379 Eyes with 513,619 Visual Acuity readings"
201,PERSONS,35047612,04/02/2022,Count,"Patients who have consented for their data to be used for research. The data includes information on their respiratory condition and linked pathology, admission and respiratory physiology data."
202,FINDINGS,187683,01/03/2021,Count,"604,168 Eyes with 13,237,510 Images"
203,Persons," 2,640,926 ",2020-12-08,Count,Number of CPRD GOLD patients matched to single HES identifier
204,EVENTS,73204,26/05/2021,Count,"Positive COVID-19 tests
"
205,PERSONS,171510,29/11/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
206,FINDINGS,27185,13/09/2021,Count,"Volunteer adults females and males (predominantly females) living in UK at time of recruitment. The dataset includes single twins, twin pairs and triplets (identical and non-identical)."
207,PERSONS,35047612,04/02/2022,Count,number of patients in the dataset
208,Persons,"71,800",2020-09-03,Count,"1,019,000 patients in dataset"
209,PERSONS,97113,27/09/2021,Count,Antibody tests conducted
210,PERSONS,514000,12/11/2021,Count,"378,000 patients in dataset"
211,PERSONS,3000000,01/01/2021,Count,Stillbirths
212,EVENTS,3000000,01/09/2021,Count,"16,840 distinct patients across both runs of GoDARTS in 2005 and 2010."
213,PERSONS,65000000,01/01/1990,Count,NHS National Codes
214,EVENTS,14900000,15/01/2021,Count,Computer task performance 
215,EVENTS,714794,20/07/2021,Welsh Cancer Neoplasm and Treatment Events,"3,219 Patients
6,378 Eyes with 806,581 Images
4,516 Eyes with 42,729 Injections (Lucentis/Eylea)
6,438 Eyes with 204,724Visual Acuity Readings"
216,Persons,1743000,2020-10-29,Count,"60,283 patient admissions with Hospital acquired pneumonia between 01-01-2000 and 31-12-2021"
217,EVENTS,3000000,01/09/2021,Count,percentage of paediatric diabetes units who completed the survey
218,EVENTS,95,01/05/2018,count,NOT APPLICABLE
219,PERSONS,129000,28/09/2021,Count,Participants who have contact details
220,EVENTS,15475075,20/01/2021,count,number of casenote reviews in the dataset
221,PERSONS,1131000,23/09/2021,Count,Number of paediatric diabetes units submitting data to the audit (out of 173 in England and Wales)
222,PERSONS,981000,24/09/2021,COUNT,"Outpatient appointments from HES (Hospital Episode Statistics) 
"
223,EVENTS,181,01/01/2020,Count,"3181 Patients
6259 eyes with 768440 images
4462 eyes with 42206 injections (Lucentis/Eylea)
6362 eyes with 198851 visual acuity readings"
224,PERSONS,68219,15/09/2021,Count,Total number of patients with images
225,PERSONS,1700000,31/12/2019,Count,Self-reported pain questionnaire
226,EVENTS,3318,01/12/2020,Count,Number of CPRD Aurum patients matched to a single cancer identifier
227,PERSONS,106000,19/07/2021,Count,76 participants in the study
228,FINDINGS,9389,07/01/2021,count,"30,000 synthetically generated patient records, generated using a Naïve Bayes model"
229,PERSONS,34416869,06/09/2021,Count,"112,514 persons in this dataset
"
230,PERSONS,2200000,15/07/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
231,Persons,"2,684,730",2020-12-08,Count,Participants who have contact details
